Z;IDM;BATCH;ITERASI;FID
6;128;10;1500;83,01063845
6;512;30;1500;85,60553894
6;512;10;1500;86,9995656
18;128;20;1500;91,9833417
12;512;20;1000;92,94901693
6;128;30;1500;96,96517311
12;512;30;1000;97,28116423
6;256;30;1500;99,13034925
18;256;10;1500;100,9066962
18;512;20;1000;100,958966
6;256;10;1500;102,4432565
12;256;10;1000;105,5607061
12;256;30;1000;106,1624773
12;128;50;1000;108,035218
6;256;20;1500;108,9974928
12;256;20;1500;110,0053191
12;128;30;1500;111,5262633
12;512;20;1500;113,3745538
6;128;40;1500;113,6364476
6;512;30;500;113,9806734
6;256;30;500;114,044856
6;256;10;1000;114,3468557
18;512;40;1500;115,8204268
6;128;20;1500;116,5622703
18;512;30;500;117,3918742
18;256;30;1000;117,7988223
18;256;30;1500;118,0699558
12;256;10;500;118,456521
18;256;40;1500;119,1641606
18;256;30;500;119,5211833
6;128;10;1000;120,0632659
12;512;10;1000;120,6629932
12;512;50;1500;121,1409717
6;512;30;1000;121,5780299
6;512;10;500;122,8806553
6;256;40;1500;124,3260161
18;128;20;1000;125,0410659
12;128;10;1500;125,2444315
12;512;10;1500;125,4655754
6;256;30;1000;125,5261733
6;128;50;1500;126,5068101
18;512;10;1500;127,2050914
6;128;30;1000;127,5550202
6;256;50;500;128,5052632
12;128;20;500;129,1140441
12;128;40;500;129,2143469
12;512;40;1500;129,3189777
6;512;20;500;129,9927627
18;512;50;1500;130,2393897
18;128;30;1500;130,5028133
12;512;50;1000;130,5874344
6;256;40;500;131,7760858
12;128;20;1500;132,0062066
18;256;10;1000;132,2019814
6;512;20;1000;132,7828911
12;512;40;1000;132,9383426
12;256;10;1500;133,5165741
6;128;10;500;133,5844982
12;512;10;500;133,7910473
12;128;20;1000;134,2352476
6;512;40;1000;135,2866518
12;512;30;1500;135,3313176
12;256;20;1000;135,4204656
6;512;10;1000;135,5094217
12;512;20;500;135,5325681
18;512;20;1500;136,5011591
18;256;50;1500;137,4891477
12;256;20;500;137,7006943
6;256;10;500;137,8477153
6;512;50;500;137,8650071
18;128;50;500;138,984429
18;128;10;500;139,7324518
12;128;40;1500;140,7260278
18;512;30;1500;140,8209309
6;256;50;1500;141,0132025
18;128;10;1000;141,1476956
12;128;50;500;141,5158463
18;512;40;500;141,7820701
6;128;20;1000;142,3575864
12;256;40;1000;143,3451884
18;512;50;500;143,3652248
12;128;30;500;144,6180323
