Z;IDM;BATCH;ITERASI;FID
12;512;40;1500;67,98261882
6;128;20;1500;69,23411412
12;512;20;1500;71,24910449
6;512;30;1500;71,3801848
12;512;30;1000;71,79720512
18;512;20;1500;72,08957843
6;512;20;1000;72,64342679
6;128;30;1500;74,60727367
6;256;20;1500;74,76298487
18;128;20;2500;74,76456114
6;512;20;1500;74,92639111
12;128;20;1500;75,04385251
6;256;20;1000;75,23605802
12;512;20;1000;75,83016185
12;128;10;2000;75,8709492
12;256;40;1500;76,28814541
12;512;10;1500;77,13768393
6;256;10;1000;77,14056158
18;256;20;1000;77,31140927
12;128;30;1500;77,39635329
18;128;10;8500;77,82151277
18;128;10;2500;77,95840004
6;128;40;1500;78,11543507
18;128;30;1500;78,23731135
18;128;20;1500;78,56518364
18;256;10;3500;78,59952021
6;128;30;1000;78,67218408
6;512;30;1000;78,750905
6;512;10;1000;78,83668855
6;512;50;1000;78,88231207
12;512;50;1500;78,9357003
6;256;10;1500;78,98124761
18;128;10;1500;79,40578831
12;256;30;1500;79,61469666
18;128;20;3000;80,00015403
6;512;10;500;80,16316539
6;256;40;1500;80,29235724
3;128;10;1000;80,32388734
6;512;40;1000;80,63631062
6;128;10;1500;80,6507686
12;256;30;500;80,80039432
6;256;10;500;80,85736384
12;128;10;1500;80,86979336
18;256;10;4000;81,10822092
18;256;10;4000;81,12772174
12;128;40;1000;81,33089864
12;128;20;2000;81,52725014
18;256;40;1000;81,53698006
12;512;10;1000;81,57656743
12;256;10;500;81,5877381
18;512;30;1000;81,64613907
12;256;20;1000;81,74411429
18;256;10;2500;82,23215382
3;256;30;1500;82,47375946
12;128;10;4500;82,54551592
18;512;40;1500;82,56091745
18;512;50;1000;82,59279612
18;256;10;12000;82,77503452
18;256;10;3500;82,86549668
18;256;20;1500;82,89484905
18;256;10;1500;82,89605603
18;256;10;4500;82,99635219
12;512;30;500;83,02216939
18;512;30;500;83,09742589
18;512;20;500;83,54530379
6;128;50;1500;83,64836795
3;256;10;1000;83,77155276
3;128;50;1000;83,812429
6;128;50;1000;84,1260356
18;256;10;4500;84,33079255
6;512;20;500;84,39386337
